386509 293    386509    0    0   800    250      0
388311 294    388311    7    0  2200   1025      0
390120 295    390120    4    0  1350    375      0
391929 296    391929    0    0  1250    425      0
393309 297    393309    0    0  1100    100      0
394689 298    394689    1    0  1100      0      0
396508 299    396508    9    0  1700   1000      0
397765 300    397765    0    0   650    650      0
399353 301    399353    0    0  1600    550      0
400847 302    400847   10    0  2000    675      0
402345 303    402345    0    0  1150    400      0
403868 304    403868    0    0   900    800     75
405681 305    405681    0    0  1650    550      0
407125 306    407125    0    0   850      0      0
408952 307    408952    5    0  1200    350      0
410763 308    410763    4    0  2100   1175      0
412578 309    412578    4    0  1600    350      0
414398 310    414398    7    0  1250    200      0
416226 311    416226    7    0  1450    775      0
417639 312    417639    0    0   900      0      0
419238 313    419238    0    0  1150    300      0
420448 314    420448    0    0   750    400      0
422268 315    422268   10    0  1950    675      0
424091 316    424091    0    0  1200    150      0
425704 317    425704    2    0  1000    300      0
426877 318    426877    0    0   650     50      0
428414 319    428414    2    0  1050      0      0
430202 320    430202    2    0   900     50      0
431656 321    431656    0    0   800    600      0
433480 322    433480    0    0  1500    625      0
435121 323    435121    0    0  1400    450      0
436952 324    436952    1    0  1850    850      0
438764 325    438764    0    0  1000      0      0
439973 326    439973    0    0   750    500      0
441807 327    441807    0    0  1450   1150      0
443626 328    443626   28    0  1950      0      0
445448 329    445448    3    0  1750    975      0
447276 330    447276   10    0  1500    200      0
448809 331    448809    0    0  1150    675      0
450351 332    450351    4    0   950    100      0
452186 333    452186    2    0  1350    600      0
454001 334    454001    2    0  1300    625      0
455174 335    455174    0    0   850    350      0
456469 336    456469    3    0   950    350      0
